,0
0,19122.440560567164
1,21934.314565209195
2,-492.97286543476366
3,-5843.08442242266
4,13457.45650977825
5,21243.91643928267
6,3760.5459453931207
7,1287.1679726043112
8,8713.436831158044
9,4336.801703514465
10,21880.77967300947
11,638.4073497467452
12,25232.677893744236
13,-1998.013956189554
14,8634.2933283954
15,36639.43095964483
16,108015.21716031828
17,95651.56264733036
18,15552.772564275478
19,-10019.593150036853
20,21537.56951888829
21,3117.592115447298
22,89537.96688539117
23,-9153.094553505875
24,1300.273695112719
25,-513.8407302979813
26,13413.054845760722
27,3151.4513739403583
28,3169.77944932381
29,225714.12861609552
30,8555.978868539307
31,92704.65034296208
32,-1241.7803785269116
33,9944.947216370634
34,65825.83082107532
35,36477.939516314684
36,-4763.015075606423
37,10462.321683822618
38,138398.41833367958
39,-10172.594045046804
40,629.9337510605073
41,6556.771316046828
42,-212.5996921205915
43,1597.0342973246607
44,1809.8571790498718
45,16782.870574849992
46,44360.41446098931
47,7680.178662937363
48,34242.58287455884
49,4103.228142922513
50,3163.6005818086232
51,138971.1591220028
52,16946.825904009398
53,-11651.86531133586
54,20394.62555592839
55,2922.335572891675
56,6607.7815846670865
57,36085.42758405709
58,547.6751013868325
59,51809.926139313204
60,10980.3385853317
61,5827.867674606233
62,28066.001786370205
63,41182.49151460474
64,8120.566014856373
65,-2084.5633777292387
66,56204.47023434441
67,7892.122323745048
68,-1496.0725038487599
69,20093.631209868956
70,35703.11940447376
71,7807.0200811872855
72,59825.31357970563
73,16124.00746582472
74,4489.319248758393
75,38705.28432445592
76,25757.337846870403
77,7741.84885890486
78,-17290.343503828066
79,-3721.6382859204605
80,-5421.646735820239
81,28252.858475151916
82,764.2399056034319
83,101549.55817543744
84,47476.03734735021
85,-22053.090657999925
86,35297.29450201268
87,17748.58928883938
88,-5852.176157209458
89,6838.38562109608
90,-7469.743087054354
91,5108.991512367657
92,7527.154412841934
93,17432.18261424322
94,2507.652563599284
95,37400.70543416786
96,-1180.8626865908009
97,7445.78639484073
98,-3520.652553062986
99,32932.020036140464
100,1744.2545726177887
101,41030.453330992794
102,-4541.065550862628
103,14840.284325785842
104,9245.781621373335
105,2986.6919187927333
106,121043.8766802241
107,15542.920188443619
108,-5469.636882081093
109,-5347.343893093523
110,12192.362846236783
111,230824.98398147812
112,29056.6594344882
113,-5284.822594406689
114,1281.9257822698473
115,3052.719598236111
116,13405.058819218928
117,72728.24815365147
118,9426.667093676206
119,-6863.443755853401
120,3147.207018648567
121,27008.020046909533
122,141432.7338656226
123,5833.140643911576
124,36431.053213354346
125,-1778.4147852132282
126,2638.641258756449
127,6196.814351920419
128,11095.762461505365
129,-11068.94848962031
130,11181.73534141207
131,-1016.4804890870673
132,-13777.21413032246
133,19274.811117144323
134,3979.8960123613906
135,30142.568107315372
136,26864.21607122422
137,2276.586836080087
138,5098.5352460603035
139,22101.52351921374
140,3320.492440059227
141,29161.41690228877
142,-16916.412920927516
143,10525.269971663665
144,5369.88506105356
145,439.8652676799211
146,-9215.989211615022
147,19392.12961019486
148,4272.992946028467
149,-5713.642990319277
150,-1616.1041801160645
151,4540.707992067652
152,13664.623281209508
153,12620.287553910071
154,7071.55230024519
155,102298.07596684301
156,14238.034750203104
157,2318.1645105993503
158,-11770.674165993609
159,86033.17764565059
160,24670.64867110216
161,5708.848447742286
162,-9128.15796296679
163,25733.14658174976
164,9014.32476820134
165,10817.907259606538
166,11782.190948659485
167,4682.610603855526
168,6973.452641614722
169,188876.513203591
170,-3113.921063673335
171,5565.233237481474
172,4783.010832209484
173,6376.627824492537
174,8966.01012142989
175,18539.756377840746
176,1357.3958236422877
177,-1995.2368350467696
178,-3541.1569637631655
179,64372.86183721741
180,81047.77715281524
181,107467.3870022567
182,39953.51126147052
183,24083.776206497136
184,377955.0934909403
185,7480.528791005214
186,12674.25231570582
187,-1217.7976548880924
188,5976.834172643258
189,20266.74280962255
190,4456.343846457551
191,35851.121223042595
192,-2738.762951181503
193,2257.8655767957734
194,7861.37326284321
195,-5132.895109387009
196,2191.176205278034
197,2424.006082857897
198,5548.463129534037
199,2245.9069722808017
200,-3458.345249387239
201,8342.848844415596
202,84520.82466416447
203,28298.212544391114
204,47905.318240839275
205,-598.9213199030401
206,-22110.035850733588
207,8341.915804385033
208,108546.68959468967
209,2124.5160351927498
210,5340.56711012876
211,18466.329581538754
212,797.7484104483719
213,-8817.41870587974
214,597.105188507041
215,30901.858006077342
216,-16672.764706256636
217,16933.327121007143
218,107925.43086506816
219,12670.560414625374
220,-712.1078814940392
221,27702.1667544886
222,-2330.988970149132
223,68969.90590538531
224,21046.116907637916
225,6661.224695605343
